"","n","parameter","estimation"
"276","100","alpha",0.0683306651916026
"277","100","alpha",1e-06
"278","100","alpha",0.0399214642369498
"279","100","alpha",0.0506559393303662
"280","100","alpha",0.0278615895165191
"281","100","alpha",1e-06
"282","100","alpha",0.0200028377506342
"283","100","alpha",1e-06
"284","100","alpha",1e-06
"285","100","alpha",0.0835148362178566
"286","100","alpha",0.0293125451750353
"287","100","alpha",0.0119539931908304
"288","100","alpha",0.236780149355323
"289","100","alpha",0.0587584213752041
"290","100","alpha",1e-06
"291","100","alpha",0.0180230898707983
"292","100","alpha",0.0244678699620573
"293","100","alpha",1e-06
"294","100","alpha",0.0503065023670571
"295","100","alpha",0.116888946980179
"296","100","alpha",1e-06
"297","100","alpha",0.00341158596828175
"298","100","alpha",1e-06
"299","100","alpha",0.0173260242957039
"300","100","alpha",0.0245064532567715
"301","100","beta",0.708789749039938
"302","100","beta",0.868592586537807
"303","100","beta",0.229767323081832
"304","100","beta",0.999999
"305","100","beta",0.753417979546563
"306","100","beta",0.748298589523615
"307","100","beta",0.999999
"308","100","beta",0.999999
"309","100","beta",0.559548211867703
"310","100","beta",0.9076320853805
"311","100","beta",0.910263048625608
"312","100","beta",0.809459934616667
"313","100","beta",0.77841972452398
"314","100","beta",0.717498973084997
"315","100","beta",0.882704121083327
"316","100","beta",0.915435440586316
"317","100","beta",0.947763469620561
"318","100","beta",0.753906967262929
"319","100","beta",0.898645261994302
"320","100","beta",0.793282182176989
"321","100","beta",0.887045247744509
"322","100","beta",0.803741937114799
"323","100","beta",0.73462813737655
"324","100","beta",0.997190199797661
"325","100","beta",0.898971190660019
"326","100","beta",0.908034969339538
"327","100","beta",0.401659301767487
"328","100","beta",0.624673453437834
"329","100","beta",0.95200086794962
"330","100","beta",0.975457968547699
"331","100","beta",0.644945217924584
"332","100","beta",0.363474613535192
"333","100","beta",0.958751776577389
"334","100","beta",0.735339298902288
"335","100","beta",0.943716583917277
"336","100","beta",0.555093882279538
"337","100","beta",0.69058994780077
"338","100","beta",0.969683917569966
